Tanggal,Tavg
01-01-2022,26.9
02-01-2022,27
03-01-2022,
04-01-2022,27.5
05-01-2022,27.7
06-01-2022,
07-01-2022,25.2
08-01-2022,
09-01-2022,27.3
10-01-2022,27.5
11-01-2022,25.7
12-01-2022,
13-01-2022,26.4
14-01-2022,26.9
15-01-2022,25.4
16-01-2022,25.5
17-01-2022,
18-01-2022,26.6
19-01-2022,26.8
20-01-2022,25.2
21-01-2022,
22-01-2022,
23-01-2022,27.8
24-01-2022,28.4
25-01-2022,28.2
26-01-2022,27.9
27-01-2022,29
28-01-2022,27.9
29-01-2022,27.7
30-01-2022,27.8
31-01-2022,
01-02-2022,28.4
02-02-2022,25.6
03-02-2022,26.3
04-02-2022,26.4
05-02-2022,27.3
06-02-2022,
07-02-2022,25.8
08-02-2022,27.6
09-02-2022,25
10-02-2022,
11-02-2022,26.3
12-02-2022,25.1
13-02-2022,27.7
14-02-2022,28.3
15-02-2022,27.7
16-02-2022,27.1
17-02-2022,26.5
18-02-2022,25.8
19-02-2022,27.4
20-02-2022,
21-02-2022,26.9
22-02-2022,25.2
23-02-2022,26
24-02-2022,
25-02-2022,27.3
26-02-2022,27.7
27-02-2022,27.4
28-02-2022,25.9
01-03-2022,25.8
02-03-2022,26.3
03-03-2022,26.5
04-03-2022,27
05-03-2022,27
06-03-2022,
07-03-2022,24.3
08-03-2022,26
09-03-2022,26.5
10-03-2022,
11-03-2022,
12-03-2022,27.8
13-03-2022,
14-03-2022,
15-03-2022,
16-03-2022,
17-03-2022,27.7
18-03-2022,
19-03-2022,
20-03-2022,25.6
21-03-2022,
22-03-2022,25.2
23-03-2022,28.2
24-03-2022,28.9
25-03-2022,
26-03-2022,
27-03-2022,27.2
28-03-2022,26.9
29-03-2022,27.4
30-03-2022,
31-03-2022,
01-04-2022,25.9
02-04-2022,27.7
03-04-2022,
04-04-2022,24.8
05-04-2022,25.5
06-04-2022,
07-04-2022,27.2
08-04-2022,27.1
09-04-2022,
10-04-2022,
11-04-2022,27.3
12-04-2022,27.3
13-04-2022,27.4
14-04-2022,
15-04-2022,
16-04-2022,
17-04-2022,27
18-04-2022,
19-04-2022,
20-04-2022,26.8
21-04-2022,
22-04-2022,27.4
23-04-2022,27.9
24-04-2022,
25-04-2022,
26-04-2022,
27-04-2022,26.4
28-04-2022,
29-04-2022,28.4
30-04-2022,28.7
